x x x
0 0 0
0 0 0
184 0 0
64 0 0
17 0 0
16 0 0
0 0 0
66 0 0
240 0 0
36 0 0
1 0 0
0 0 0
192 0 0
1 0 1
1 0 0
255 0 0
0 0 0
254 0 0
0 0 0
1 0 0
252 0 0
128 0 0
20 0 0
73 0 0
18 0 0
1 0 1
6 0 0
70 0 0
70 0 0
108 0 0
113 0 0
101 0 0
102 0 0
9 0 0
83 0 0
101 0 0
114 0 0
119 0 119
104 0 0
99 0 0
101 0 0
48 0 0
49 0 0
118 0 0
124 0 0
66 0 0
203 0 0
254 0 0
255 0 0
255 0 255
255 0 0
254 0 0
255 0 0
254 0 0
255 0 0
255 0 0
255 0 0
254 0 0
254 0 0
254 0 0
255 0 0
255 0 255
254 0 0
255 0 0
255 0 0
254 0 0
254 0 0
254 0 0
254 0 0
255 0 0
255 0 0
254 0 0
255 0 0
255 0 255
254 0 0
255 0 0
254 0 0
254 0 0
255 0 0
254 0 0
255 0 0
255 0 0
255 0 0
254 0 0
255 0 0
254 0 254
254 0 0
255 0 0
254 0 0
254 0 0
254 0 0
255 0 0
254 0 0
254 0 0
254 0 0
255 0 0
255 0 0
254 0 254
254 0 0
254 0 0
255 0 0
254 0 0
254 0 0
255 0 0
255 0 0
254 0 0
254 0 0
255 0 0
255 0 0
254 0 254
255 0 0
254 0 0
255 0 0
255 0 0
254 0 0
254 0 0
255 0 0
254 0 0
255 0 0
254 0 0
255 0 0
254 0 254
255 0 0
254 0 0
254 0 0
254 0 0
254 0 0
255 0 0
254 0 0
255 0 0
254 0 0
254 0 0
254 0 0
254 0 254
254 0 0
254 0 0
254 0 0
254 0 0
255 0 0
255 0 0
255 0 0
254 0 0
254 0 0
254 0 0
254 0 0
255 0 255
255 0 0
255 0 0
255 0 0
255 0 0
255 0 0
255 0 0
254 0 0
255 0 0
255 0 0
254 0 0
255 0 0
255 0 255
255 0 0
254 0 0
255 0 0
255 0 0
255 0 0
255 0 0
255 0 0
255 0 0
254 0 0
254 0 0
255 0 0
254 0 254
254 0 0
255 0 0
255 0 0
254 0 0
254 0 0
255 0 0
255 0 0
255 0 0
255 0 0
255 0 0
254 0 0
255 0 255
254 0 0
254 0 0
