Sample in Buffer,Sample in Window,TRIGGER,top_i/PolarityShift_0_doubleOut[1:0],top_i/dds_compiler_1_m_axis_data_tdata[15:0],top_i/mult_gen_1_P[18:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
0,0,0,1,-6,6
1,1,0,1,-8190,-8190
2,2,0,1,-6,-6
3,3,0,1,8190,8190
4,4,0,1,-6,-6
5,5,0,1,-8190,-8190
6,6,0,1,6,-6
7,7,0,1,8190,8190
8,8,0,1,6,-6
9,9,0,1,-8190,-8190
10,10,0,1,-6,6
11,11,0,1,8190,8190
12,12,0,1,6,6
13,13,0,1,-8190,-8190
14,14,0,1,6,-6
15,15,0,1,8190,8190
16,16,0,1,-6,6
17,17,0,1,-8190,-8190
18,18,0,1,-6,6
19,19,0,1,8190,8190
20,20,0,1,-6,-6
21,21,0,1,-8190,-8190
22,22,0,1,6,-6
23,23,0,1,8190,8190
24,24,0,1,-6,-6
25,25,0,1,-8190,-8190
26,26,0,1,6,6
27,27,0,1,8190,8190
28,28,0,1,6,-6
29,29,0,1,-8190,-8190
30,30,0,1,6,6
31,31,0,1,8190,8190
32,32,0,1,6,6
33,33,0,1,-8190,-8190
34,34,0,1,-6,6
35,35,0,1,8190,8190
36,36,0,1,-6,6
37,37,0,1,-8190,-8190
38,38,0,1,-6,-6
39,39,0,1,8190,8190
40,40,0,1,-6,-6
41,41,0,1,-8190,-8190
42,42,0,1,-6,-6
43,43,0,1,8190,8190
44,44,0,1,-6,-6
45,45,0,1,-8190,-8190
46,46,0,1,6,-6
47,47,0,1,8190,8190
48,48,0,1,6,-6
49,49,0,1,-8190,-8190
50,50,0,1,-6,6
51,51,0,1,8190,8190
52,52,0,1,6,6
53,53,0,1,-8190,-8190
54,54,0,1,-6,-6
55,55,0,1,8190,8190
56,56,0,1,-6,6
57,57,0,1,-8190,-8190
58,58,0,1,-6,-6
59,59,0,1,8190,8190
60,60,0,1,6,-6
61,61,0,1,-8190,-8190
62,62,0,1,-6,-6
63,63,0,1,8190,8190
64,64,0,1,6,6
65,65,0,1,-8190,-8190
66,66,0,1,6,-6
67,67,0,1,8190,8190
68,68,0,1,-6,6
69,69,0,1,-8190,-8190
70,70,0,1,6,6
71,71,0,1,8190,8190
72,72,0,1,-6,-6
73,73,0,1,-8190,-8190
74,74,0,1,-6,6
75,75,0,1,8190,8190
76,76,0,1,-6,-6
77,77,0,1,-8190,-8190
78,78,0,1,6,-6
79,79,0,1,8190,8190
80,80,0,1,-6,-6
81,81,0,1,-8190,-8190
82,82,0,1,6,6
83,83,0,1,8190,8190
84,84,0,1,-6,-6
85,85,0,1,-8190,-8190
86,86,0,1,6,6
87,87,0,1,8190,8190
88,88,0,1,6,-6
89,89,0,1,-8190,-8190
90,90,0,1,6,6
91,91,0,1,8190,8190
92,92,0,1,6,6
93,93,0,1,-8190,-8190
94,94,0,1,6,6
95,95,0,1,8190,8190
96,96,0,1,6,6
97,97,0,1,-8190,-8190
98,98,0,1,6,6
99,99,0,1,8190,8190
100,100,0,1,6,6
101,101,0,1,-8190,-8190
102,102,0,1,-6,6
103,103,0,1,8190,8190
104,104,0,1,-6,6
105,105,0,1,-8190,-8190
106,106,0,1,-6,-6
107,107,0,1,8190,8190
108,108,0,1,-6,-6
109,109,0,1,-8190,-8190
110,110,0,1,-6,-6
111,111,0,1,8190,8190
112,112,0,1,-6,-6
113,113,0,1,-8190,-8190
114,114,0,1,-6,-6
115,115,0,1,8190,8190
116,116,0,1,-6,-6
117,117,0,1,-8190,-8190
118,118,0,1,6,-6
119,119,0,1,8190,8190
120,120,0,1,6,-6
121,121,0,1,-8190,-8190
122,122,0,1,6,6
123,123,0,1,8190,8190
124,124,0,1,6,6
125,125,0,1,-8190,-8190
126,126,0,1,-6,6
127,127,0,1,8190,8190
128,128,0,1,-6,6
129,129,0,1,-8190,-8190
130,130,0,1,6,-6
131,131,0,1,8190,8190
132,132,0,1,-6,-6
133,133,0,1,-8190,-8190
134,134,0,1,-6,6
135,135,0,1,8190,8190
136,136,0,1,6,-6
137,137,0,1,-8190,-8190
138,138,0,1,6,-6
139,139,0,1,8190,8190
140,140,0,1,6,6
141,141,0,1,-8190,-8190
142,142,0,1,6,6
143,143,0,1,8190,8190
144,144,0,1,6,6
145,145,0,1,-8190,-8190
146,146,0,1,6,6
147,147,0,1,8190,8190
148,148,0,1,-6,6
149,149,0,1,-8190,-8190
150,150,0,1,6,6
151,151,0,1,8190,8190
152,152,0,1,6,-6
153,153,0,1,-8190,-8190
154,154,0,1,-6,6
155,155,0,1,8190,8190
156,156,0,1,-6,6
